t_sec,base_pos_err_m,base_orient_err_rad,mount_x,mount_y,mount_z,int_0,int_1,int_2,int_3,int_4,int_5
3.076144,0.019992825120566143,2.6265970566633437e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.078176,0.01999748879155696,9.193089698293706e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.079378,0.019999121076966418,3.2175813944051113e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.081145,0.01999969237692863,1.1261534880339416e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.083591,0.019999892331923865,3.941537207878094e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.084785,0.019979403933975248,7.584292235794836e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.08672,0.01999279137299866,2.6545022825280834e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.088526,0.019997476980073127,9.290757988851967e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.090427,0.019999116942967236,3.251765296108019e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0923,0.019999690930031417,1.1381178536522751e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.093978,0.01997929146826108,7.66967460857832e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.09535,0.01999275201073767,2.684386113002012e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.098214,0.019997463203372184,9.39535139547034e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.099355,0.019999112121133002,3.2883729884058927e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.101305,0.019999689242390768,1.1509305459297968e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.102753,0.01999989123483608,4.0282569106877055e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.105082,0.01997923843717865,7.733249848457034e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.106561,0.019992733450028364,2.7066374469578072e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.108778,0.019997456707144725,9.473231064340571e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.110287,0.019999109847455943,3.315630872492301e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.113311,0.01999968844660411,1.160470805370558e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.114292,0.019978996636727284,7.867151276825828e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.116168,0.019992648819395064,2.753502946887187e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.117729,0.0199974270863649,9.637260314095369e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.12002,0.019999099480175912,3.3730411099341457e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.121849,0.01999968481805523,1.180564388457938e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.123412,0.019978991719470346,7.912551977562538e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.125075,0.019992647097371953,2.7693931921453253e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.127404,0.019997426483536484,9.692876172489497e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.129202,0.019999099269171195,3.3925066603633442e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.130882,0.019999684744201777,1.187377331131065e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.132812,0.0199998896604696,4.155820658930415e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.135223,0.019978822136641497,8.02012747053611e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.136328,0.01999258774173968,2.8070446146855788e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.138369,0.019997405708864213,9.82465615138015e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.139971,0.01999909199801128,3.4386296529818065e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.141843,0.01999968219929279,1.2035203785344028e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.143649,0.019978643139569173,8.131432481127328e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.145745,0.01999252509051379,2.846001368394192e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.147272,0.019997383780659718,9.961004789378956e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.149415,0.01999908432310602,3.4863516762746583e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.150944,0.019999679513071824,1.220223086692466e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.153232,0.019999887829573303,4.2707808031960735e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.154808,0.019978710113345618,8.149115931280603e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.156794,0.01999254852870846,2.8521905759460754e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.15869,0.01999739198370633,9.982667015783036e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.160582,0.01999908719413293,3.493933455502519e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.162312,0.0199996805179264,1.2228767094125498e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.16391,0.019978549524060217,8.253294292831082e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.165767,0.019992492319079333,2.888653002490536e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.167624,0.019997372309922563,1.011028550870572e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.169349,0.01999908030825796,3.5385999280357842e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.171205,0.01999967810786398,1.2385099748083096e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.172998,0.01999988733774917,4.3347849117313244e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.174787,0.019978378347520157,8.362233125731549e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.176615,0.019992432403250222,2.9267815940053593e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.178436,0.019997351338887935,1.0243735579013942e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.180385,0.0199990729683353,3.5853074526568683e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.182422,0.019999675538883616,1.25485760842527e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.184279,0.01997833026904354,8.423329709967759e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.185841,0.019992415571404146,2.948165398486089e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.187698,0.01999734544720589,1.0318578894685453e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.190087,0.01999907090618094,3.6115026131423288e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.191124,0.019999674817121574,1.2640259146031538e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.19296,0.01999988618598745,4.4240907010396103e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.194845,0.01997812125934441,8.547440719270627e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.197405,0.019992342412660395,2.991604251744799e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.198776,0.01999731984099097,1.0470614881090222e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.200553,0.019999061943925586,3.6647152083754503e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.202237,0.01999967168032238,1.2826503229076426e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.204087,0.019978088515683147,8.602516299851803e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.20578,0.019992330946929183,3.0108807049484774e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.207929,0.019997315827318073,1.053808246731802e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.209573,0.01999906053905837,3.6883288635705433e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
